id,title,category,collection_tag,frame_shape,price,stock_count,ar_asset_url
pKIJksZ,Blue Light Glasses,Eyeglasses,Fashion Nova,Square,174.24,100,https://cdn.trychannel3.com/17761657-d18a-4738-b7a1-c5da99232155?aid=01M11BRT3F8230HENY69FX2E82&mid=pP8q
ync0rx8,Edgiest In The Office Blue Light Glasses,Eyeglasses,Fashion Nova,Square,218.24,100,https://cdn.trychannel3.com/57851463-235c-4f78-9a62-8272c60c2e10?aid=01M11BRT3F8230HENY69FX2E82&mid=pP8q
R2o2OqJ,Rounded Geometric Sunglasses,Sunglasses,Aeropostale,Geometric,351.12,100,https://cdn.trychannel3.com/e1c95c9c-8849-4166-bb57-e8595c46574a?aid=01M11BVSGMQS64XQC9V0C65NV6&mid=SDz8
TEZKIrT,Raquella Rectangle Blue Light Glasses,Eyeglasses,Edikted,Rectangle,387.2,100,https://cdn.trychannel3.com/a7819a31-7b75-4b99-92b5-81d90fb5c31f?aid=01M11BRRBYDXKF9H1BDHPE7JWA&mid=hu0i
3Ww53eU,Retro Round Sunglasses,Sunglasses,Edikted,Round,387.2,100,https://cdn.trychannel3.com/90c3e8c3-f3a8-4785-b5bc-fbbc0101c9d2?aid=01M11BTZA1GK1ZGZSDSXHYR3B5&mid=hu0i
R9SnpPS,Aviator Sunglasses,Sunglasses,Fashion Nova,Aviator,395.12,100,https://cdn.trychannel3.com/cc80155f-0e71-4d5b-8781-296e53712aad?aid=01M11BTTQ6AGW69JN363BEYD9X&mid=pP8q
n6VwR5Z,Keep At It Blue Light Glasses,Eyeglasses,Fashion Nova,Cat Eye,395.12,100,https://cdn.trychannel3.com/1cba3413-8945-4905-8775-0e6a1300f5b5?aid=01M11BRRBYDXKF9H1BDHPE7JWA&mid=pP8q
YKzNlnB,Oversized Round Sunglasses,Sunglasses,Maurices,Round,435.6,100,https://cdn.trychannel3.com/cfad1fed-1055-419e-95a6-b6e545dd9ec9?aid=01M11BVZFQ8CDJ55YMJQPG8PQN&mid=mAHj
xphoj8y,Blue Light Glasses,Eyeglasses,Windsor,Cat Eye,437.36,100,https://cdn.trychannel3.com/dc58e315-42ec-498c-9a26-1344abb0f760?aid=01M11BRRBYDXKF9H1BDHPE7JWA&mid=pArS
CA0xXlr,Oversized Blue Light Glasses,Eyeglasses,Windsor,Rectangle,437.36,100,https://cdn.trychannel3.com/42e67eb6-9e8f-42a5-b055-1872c186ed93?aid=01M11BRRBYDXKF9H1BDHPE7JWA&mid=pArS
1a3hkoW,Aviator Sunglasses,Sunglasses,Shady Rays,Aviator,437.36,100,https://cdn.trychannel3.com/954a0295-d98f-414b-b4ed-886f9c634db1?aid=01M11BTR6RNDHH7SH1QV2DWF7Y&mid=FP7n
QppmASj,Rectangle Sunglasses,Sunglasses,Empyre,Rectangle,439.12,100,https://cdn.trychannel3.com/79690ad4-99e0-48e8-be34-80544d40ae56?aid=01M11BV8M566P5VH2FK9329FKG&mid=Kddv
tVfYite,Rectangle Sunglasses,Sunglasses,cotton On,Rectangle,440.0,100,https://cdn.trychannel3.com/ebb609dc-552a-459d-9430-2e4617f5b867?aid=01M11BV6T7W6NWG5K6JS2H0NRR&mid=hQYc
OTSa5Xb,Blue light glasses,Eyeglasses,H&M,Oval,527.12,100,https://cdn.trychannel3.com/43b44abf-ce1b-498f-bbff-c4f39d241bfa?aid=01M11BRRBYDXKF9H1BDHPE7JWA&mid=UqdU
9P0CVzr,Rimless Frame Geometric Sunglasses,Sunglasses,Fashion Nova,Aviator,527.12,100,https://cdn.trychannel3.com/4f78f049-5359-4564-941c-0981dc678536?aid=01M11BVV4QWMAZWM9957CHTH1J&mid=pP8q
YmEC3dB,Runaway Baby Oval Sunglasses Black,Sunglasses,Princess Polly,Oval,528.0,100,https://cdn.trychannel3.com/d5f209f2-1f72-49f3-97ce-801c2af5e36f?aid=01M11BVDG61533RD7HP9ZHZG57&mid=cAkm
HUSzov9,Geometric Sunglasses,Sunglasses,ZEELOOL,Geometric,528.0,100,https://cdn.trychannel3.com/ede4a401-dd5d-4477-825f-caeeed6e353b?aid=01M11BVV4QWMAZWM9957CHTH1J&mid=aeSD
gCxdetz,Amber Driver Day and Night Vision Sports Glasses,Sunglasses,Express,Other,552.64,100,https://cdn.trychannel3.com/03195551-5fe8-4630-9bda-e14a68243650?aid=01M11BRX3HPQR248BM1AHJ3TTA&mid=BsaX
aBx1Qgq,Meghanne Rectangle Sunglasses,Sunglasses,Edikted,Rectangle,580.8,100,https://cdn.trychannel3.com/e24c0899-1014-46eb-901c-0427e130c01f?aid=01M11BV8M566P5VH2FK9329FKG&mid=hu0i
pTR7i7j,Square Glasses,Eyeglasses,Zenni,Cat Eye,611.6,100,https://cdn.trychannel3.com/88c11679-c12e-400f-b929-84df2c40a4b0?aid=01M11BTFMDTHE5ART8Q4HAS3N7&mid=ZYiL
mZmonCG,Square Glasses,Eyeglasses,Zenni,Square,611.6,100,https://cdn.trychannel3.com/cf8b0118-63d2-4c72-8e35-acd629a03a36?aid=01M11BTH9AJFHQXNJYCAZJEHK2&mid=ZYiL
CZv997L,Square Glasses,Eyeglasses,Zenni,Square,611.6,100,https://cdn.trychannel3.com/9fd67112-64a6-40fb-acfe-11a86154ff3b?aid=01M11BTH9AJFHQXNJYCAZJEHK2&mid=ZYiL
tuK65DO,Square Sunglasses,Sunglasses,Fashion Nova,Square,615.12,100,https://cdn.trychannel3.com/448f1130-cd54-4959-8f4c-b2be3fa2b398?aid=01M11BV3TN1ARSW7EQ1YQYA71F&mid=pP8q
3B9AX4p,Cyrus Long Rectangle Glasses,Eyeglasses,ZEELOOL,Rectangle,616.0,100,https://cdn.trychannel3.com/01719796-e5b4-47e3-b975-45ce4d42f823?aid=01M11BSSZEACWDNDBJABSYNJR1&mid=aeSD
kqo72y2,Cat Eye Sunglasses,Sunglasses,H&M,Cat Eye,660.0,100,https://cdn.trychannel3.com/612e3e0c-0fb3-473e-a5b8-9708621ccb63?aid=01M11BVJ1PFMQMD5V55VXX9ADS&mid=UqdU
Lj4YzV8,Cat-Eye Sunglasses,Sunglasses,Zenni,Cat Eye,703.12,100,https://cdn.trychannel3.com/412223a9-2cb7-4941-9e10-882539d83218?aid=01M11BVJ1PFMQMD5V55VXX9ADS&mid=ZYiL
