user_id,product_id,event_type,dwell_time,session_id,timestamp
USER_012,PROD_0009,add_to_cart,54,SESSION_0019,2026-08-24T18:08:15.174230
USER_030,PROD_0006,view_product,52,SESSION_0021,2026-08-24T18:12:15.174230
USER_030,PROD_0011,landing,107,SESSION_0003,2026-08-24T18:23:15.174230
USER_008,PROD_0012,view_product,79,SESSION_0010,2026-08-24T18:42:15.174230
USER_027,PROD_0003,view_product,51,SESSION_0001,2026-08-24T18:49:15.174230
USER_008,PROD_0010,completed,23,SESSION_0004,2026-08-24T19:08:15.174230
USER_028,PROD_0007,view_product,29,SESSION_0019,2026-08-24T19:26:15.174230
USER_020,PROD_0011,checkout,50,SESSION_0022,2026-08-24T19:30:15.174230
USER_011,PROD_0017,try_ar,76,SESSION_0002,2026-08-24T19:32:15.174230
USER_004,PROD_0004,add_to_cart,51,SESSION_0008,2026-08-24T19:52:15.174230
USER_013,PROD_0007,landing,69,SESSION_0019,2026-08-24T20:04:15.174230
USER_016,PROD_0005,checkout,104,SESSION_0006,2026-08-24T20:19:15.174230
USER_022,PROD_0016,payment,25,SESSION_0030,2026-08-24T20:35:15.174230
USER_026,PROD_0005,checkout,41,SESSION_0032,2026-08-24T20:48:15.174230
USER_029,PROD_0002,add_to_cart,24,SESSION_0023,2026-08-24T20:51:15.174230
USER_003,PROD_0019,view_product,104,SESSION_0041,2026-08-24T20:57:15.174230
USER_008,PROD_0015,browse_products,6,SESSION_0036,2026-08-24T20:58:15.174230
USER_025,PROD_0019,landing,40,SESSION_0044,2026-08-24T21:50:15.174230
USER_028,PROD_0013,try_ar,64,SESSION_0047,2026-08-24T22:01:15.174230
USER_015,PROD_0007,add_to_cart,108,SESSION_0037,2026-08-24T22:17:15.174230
USER_010,PROD_0012,add_to_cart,107,SESSION_0034,2026-08-24T22:34:15.174230
USER_017,PROD_0020,checkout,117,SESSION_0006,2026-08-24T23:08:15.174230
USER_022,PROD_0019,add_to_cart,75,SESSION_0026,2026-08-24T23:22:15.174230
USER_018,PROD_0008,view_product,27,SESSION_0049,2026-08-24T23:23:15.174230
USER_011,PROD_0006,landing,108,SESSION_0043,2026-08-24T23:44:15.174230
USER_016,PROD_0012,try_ar,50,SESSION_0001,2026-08-25T00:05:15.174230
USER_020,PROD_0015,add_to_cart,51,SESSION_0024,2026-08-25T00:12:15.174230
USER_010,PROD_0017,checkout,46,SESSION_0016,2026-08-25T00:20:15.174230
USER_011,PROD_0008,view_product,71,SESSION_0037,2026-08-25T00:24:15.174230
USER_021,PROD_0013,landing,26,SESSION_0012,2026-08-25T00:44:15.174230
USER_025,PROD_0011,landing,29,SESSION_0043,2026-08-25T00:48:15.174230
USER_001,PROD_0018,checkout,8,SESSION_0015,2026-08-25T01:08:15.174230
USER_030,PROD_0008,add_to_cart,20,SESSION_0042,2026-08-25T01:09:15.174230
USER_023,PROD_0014,landing,102,SESSION_0044,2026-08-25T01:09:15.174230
USER_016,PROD_0013,completed,116,SESSION_0019,2026-08-25T01:15:15.174230
USER_010,PROD_0006,checkout,118,SESSION_0012,2026-08-25T01:17:15.174230
USER_018,PROD_0007,add_to_cart,45,SESSION_0007,2026-08-25T01:28:15.174230
USER_014,PROD_0017,payment,25,SESSION_0030,2026-08-25T01:34:15.174230
USER_027,PROD_0017,payment,45,SESSION_0015,2026-08-25T01:40:15.174230
USER_025,PROD_0011,view_product,35,SESSION_0003,2026-08-25T01:55:15.174230
USER_008,PROD_0017,completed,24,SESSION_0026,2026-08-25T02:09:15.174230
USER_027,PROD_0001,add_to_cart,24,SESSION_0033,2026-08-25T02:54:15.174230
USER_016,PROD_0014,checkout,84,SESSION_0016,2026-08-25T03:03:15.174230
USER_003,PROD_0005,try_ar,74,SESSION_0050,2026-08-25T03:21:15.174230
USER_002,PROD_0001,view_product,38,SESSION_0011,2026-08-25T03:22:15.174230
USER_002,PROD_0018,add_to_cart,41,SESSION_0025,2026-08-25T03:38:15.174230
USER_023,PROD_0009,browse_products,16,SESSION_0019,2026-08-25T03:48:15.174230
USER_012,PROD_0017,landing,99,SESSION_0011,2026-08-25T04:03:15.174230
USER_024,PROD_0008,landing,48,SESSION_0001,2026-08-25T04:22:15.174230
USER_020,PROD_0005,add_to_cart,7,SESSION_0050,2026-08-25T04:23:15.174230
